# Source: DsRegistroVeriFactu.xlsx :: sheet '3)D. Reg. Facturación Anulación'
BLOQUE	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DESCRIPCIÓN	FORMATO / (LONGITUD) / LISTA
RegistroAnulacion1	IDVersion1			Identificación de la versión actual del esquema o estructura de información utilizada para la generación y conservación / remisión de los registros de facturación. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación.	Alfanumérico (3) L15
	IDFactura1	IDEmisorFacturaAnulada1		NIF del obligado a expedir la factura que se anula. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación, ya que es necesario para completar la identificación de la factura a anular en casos excepcionales y puntuales en los que no coincida con el actual, como al cambiar en un momento dado el NIF tras fusiones, absorciones, etc.	FormatoNIF (9) 
		NumSerieFacturaAnulada1		Nº Serie+Nº Factura que identifica a la factura que se anula.	Alfanumérico (60) 
		FechaExpedicionFacturaAnulada1		Fecha de expedición de la factura que se anula.	Fecha (dd-mm-yyyy) 
	RefExterna			Dato adicional de contenido libre con el objetivo de que se pueda asociar opcionalmente información interna del sistema informático de facturación al registro de facturación. Este dato puede ayudar a completar la identificación o calificación de la factura y/o su registro de facturación.	Alfanumérico (60) 
	SinRegistroPrevio			Indicador que especifica que se trata de la anulación de un registro de facturación de alta (o subsanación de un registro de facturación de anulación previo) cuando este no existe en la AEAT (o en el propio sistema informático, si así procede indicar). Si no se informa este campo se entenderá que tiene valor "N". Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación.	Alfanumérico (1) L4
	RechazoPrevio			Indicador que especifica que se está generando -para volverlo a remitir- un nuevo registro de facturación de anulación subsanado tras haber sido rechazado en su remisión inmediatamente anterior, es decir, en el último envío que contenía ese registro de facturación de anulación rechazado. Si no se informa este campo se entenderá que tiene valor "N". Solo es necesario informarlo en caso de remisión voluntaria «VERI*FACTU». Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación.	Alfanumérico (1) L4
	GeneradoPor			Indicador que especifica quién se ha encargado de generar materialmente el registro de facturación de anulación, cuyos datos identificativos deberán hacerse constar dentro del grupo de campos "Generador", en su correspondiente sitio en función de si dispone de NIF o no. Si no se informa este campo, tampoco se deberá informar "Generador", considerándose que es el mismo que el emisor material de la factura que se anula. Por otro lado, se entiende que el obligado a generar el registro de facturación de anulación siempre es el mismo que el obligado a expedir la factura que en él se anula (incluyendo los casos de sucesión). 	Alfanumérico (1) L16
	Generador	NombreRazon1		Nombre-razón social del generador material del registro de facturación de anulación.	Alfanumérico (120) 
		NIF1		En su caso, identificador del NIF del generador material del registro de facturación de anulación.	FormatoNIF (9) 
		IDOtro1	CodigoPais	En su caso, código del país del generador material del registro de facturación de anulación.	Alfanumérico (2) (ISO 3166-1 alpha-2 codes) 
			IDType1	En su caso, clave para establecer el tipo de identificación, en el país de residencia, del generador material del registro de facturación de anulación.	Alfanumérico (2) L7
			ID1	En su caso, número de identificación, en el país de residencia, del generador material del registro de facturación de anulación.	Alfanumérico (20) 
	Encadenamiento1	PrimerRegistro1		Indicador que especifica que no existe registro de facturación anterior en este sistema informático por tratarse del primer registro de facturación generado en él. En este caso, se informará con el valor "S". Si no se informa este campo se entenderá que no es el primer registro de facturación, en cuyo caso es obligatorio informar los campos de que consta «RegistroAnterior».	Alfanumérico (1)
		RegistroAnterior1	IDEmisorFactura1	NIF del obligado a expedir la factura a que se refiere el registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación, ya que es necesario para completar la identificación de la factura contenida en el registro de facturación anterior a encadenar en casos excepcionales y puntuales en los que no coincida con el actual, como al cambiar en un momento dado el NIF tras fusiones, absorciones, etc.	FormatoNIF (9) 
			NumSerieFactura1	Nº Serie+Nº Factura que identifica a la factura a que se refiere el registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático.	Alfanumérico (60) 
			FechaExpedicionFactura1	Fecha de expedición de la factura a que se refiere el registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático.	Fecha (dd-mm-yyyy) 
			Huella1	Primeros 64 caracteres de la huella o «hash» del registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático.	Alfanumérico (64) 
	SistemaInformatico1			Datos del sistema informático de facturación utilizado. Ver su diseño de bloque: «SistemaInformatico».
	FechaHoraHusoGenRegistro1			Fecha, hora y huso horario de generación del registro de facturación. El huso horario es el que está usando el sistema informático de facturación en el momento de generación del registro de facturación.	DateTime. Formato: YYYY-MM-DDThh:mm:ssTZD (ej: 2024-01-01T19:20:30+01:00) (ISO 8601)
	TipoHuella1			Tipo de algoritmo aplicado a cierto contenido del registro de facturación para obtener la huella o «hash».	Alfanumérico (2) L12
	Huella1			Huella o «hash» de cierto contenido de este registro de facturación. Dicho contenido se detallará en la documentación correspondiente en la sede electrónica de la AEAT (documento de huella...).	Alfanumérico (64) 
	Signature			Firma electrónica del registro de facturación en formato Xades Enveloped.	Ver formato del "schema", en http://www.w3.org/2000/09/xmldsig#
				Namespace=http://www.w3.org/2000/09/xmldsig#
				Obligatorio para conservación y para requerimiento, pero no para remisión voluntaria («VERI*FACTU»).
