# Source: DsRegistroVeriFactu.xlsx :: sheet '4)Diseño Registro Evento'
BLOQUE	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DESCRIPCIÓN	FORMATO / (LONGITUD) / LISTA
RegistroEvento1	IDVersion1					Identificación de la versión actual del esquema o estructura de información utilizada para la generación y conservación de los registros de evento.	Alfanumérico (3)
							L15
	Evento1	SistemaInformatico1				Datos del sistema informático de facturación utilizado. Ver su diseño de bloque: «SistemaInformatico».
		ObligadoEmision1	NombreRazon1			Nombre-razón social del obligado a expedir las facturas.	Alfanumérico (120) 
			NIF1			NIF del obligado a expedir las facturas.	FormatoNIF (9) 
		EmitidaPorTerceroODestinatario				Campo que especifica si las facturas son expedidas materialmente por un tercero o destinatario en nombre del obligado a expedir facturas, en cuyo caso el campo «TerceroODestinatario» es obligatorio. Si no se informa este indicador, se entiende que quien expide materialmente las facturas (y genera los correspondientes registros de facturación) es el propio obligado a expedir las facturas.	Alfanumérico (1)
							L4E
		TerceroODestinatario	NombreRazon1			Nombre-razón social del tercero o destinatario que expida las facturas.	Alfanumérico (120) 
			NIF1			NIF del tercero o destinatario que expida las facturas.	FormatoNIF (9) 
			IDOtro1	CodigoPais		Código del país del tercero o destinatario que expida las facturas.	Alfanumérico (2) (ISO 3166-1 alpha-2 codes) 
				IDType1		Clave para establecer el tipo de identificación en el país de residencia.	Alfanumérico (2)
							L7
				ID1		Número de identificación en el país de residencia.	Alfanumérico (20) 
		FechaHoraHusoGenEvento1				Fecha, hora y huso horario de generación del registro de evento. El huso horario es el que está usando el sistema informático de facturación en el momento de generación del evento.	DateTime. Formato: YYYY-MM-DDThh:mm:ssTZD (ej: 2024-01-01T19:20:30+01:00) (ISO 8601)
		TipoEvento1				Tipo de evento que se está registrando.	Alfanumérico (2) L2E
		DatosPropiosEvento	LanzamientoProcesoDeteccionAnomaliasRegFacturacion1	RealizadoProcesoSobreIntegridadHuellasRegFacturacion1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la integridad de las huellas de los registros de facturación.	Alfanumérico (1) L3E
				NumeroDeRegistrosFacturacionProcesadosSobreIntegridadHuellas		Número de registros de facturación analizados por el proceso sobre la integridad de las huellas. Obligatorio si el campo anterior es igual a "S"	Numérico (7) 
				RealizadoProcesoSobreIntegridadFirmasRegFacturacion1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la integridad de las firmas de los registros de facturación.	Alfanumérico (1) L3E
				NumeroDeRegistrosFacturacionProcesadosSobreIntegridadFirmas		Número de registros de facturación analizados por el proceso sobre la integridad de la firma. Obligatorio si el campo anterior es igual a "S".	Numérico (7) 
				RealizadoProcesoSobreTrazabilidadCadenaRegFacturacion1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la trazabilidad del encadenamiento de los registros de facturación.	Alfanumérico (1) L3E
				NumeroDeRegistrosFacturacionProcesadosSobreTrazabilidadCadena		Número de registros de facturación analizados por el proceso sobre la trazabilidad del encadenamiento. Obligatorio si el campo anterior es igual a "S".	Numérico (7) 
				RealizadoProcesoSobreTrazabilidadFechasRegFacturacion1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la trazabilidad de las fechas de los registros de facturación.	Alfanumérico (1) L3E
				NumeroDeRegistrosFacturacionProcesadosSobreTrazabilidadFechas		Número de registros de facturación analizados por el proceso sobre la trazabilidad de las fechas. Obligatorio si el campo anterior es igual a "S".	Numérico (7) 
			DeteccionAnomaliasRegFacturacion1	TipoAnomalia1		Tipo de anomalía detectado.	Alfanumérico (2) L1E
				OtrosDatosAnomalia		Otros datos de interés o explicación adicional que el sistema informático pueda aportar sobre la anomalía detectada.	Alfanumérico (100) 
				RegistroFacturacionAnomalo	IDEmisorFactura1	NIF del obligado a expedir la factura a que se refiere el registro de facturación anómalo.	FormatoNIF (9) 
					NumSerieFactura1	Nº Serie+Nº Factura a que se refiere el registro de facturación anómalo. 	Alfanumérico (60) 
					FechaExpedicionFactura1	Fecha de expedición de la factura a que se refiere el registro de facturación anómalo.	Fecha (dd-mm-yyyy) 
			LanzamientoProcesoDeteccionAnomaliasRegEvento1	RealizadoProcesoSobreIntegridadHuellasRegEvento1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la integridad de las huellas de los registros de evento.	Alfanumérico (1) L3E
				NumeroDeRegistrosEventoProcesadosSobreIntegridadHuellas		Número de registros de evento analizados por el proceso sobre la integridad de las huellas. Obligatorio si el campo anterior es igual a "S".	Numérico (5) 
				RealizadoProcesoSobreIntegridadFirmasRegEvento1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la integridad de las firmas de los registros de evento.	Alfanumérico (1) L3E
				NumeroDeRegistrosEventoProcesadosSobreIntegridadFirmas		Número de registros de evento analizados por el proceso sobre la integridad de la firma. Obligatorio si el campo anterior es igual a "S".	Numérico (5) 
				RealizadoProcesoSobreTrazabilidadCadenaRegEvento1		Indica si se ha lanzado algún proceso de detección de anomalías sobre la trazabilidad del encadenamiento de los registros de evento.	Alfanumérico (1) L3E
				NumeroDeRegistrosEventoProcesadosSobreTrazabilidadCadena		Número de registros de evento analizados por el proceso sobre la trazabilidad del encadenamiento. Obligatorio si el campo anterior es igual a "S".	Numérico (5) 
